Account,total_pnl,win_rate,profit_factor
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1639363.0955049999,0.32488050982474775,47.02649878510437
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,722210.9813250001,0.5276296138254747,5.83519008334974
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,453595.31817600003,0.27206946454413894,74.7553362887805
0x430f09841d65beb3f27765503d0f850b8bce7713,351965.44050900004,0.6442185514612452,inf
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,306664.249464,0.8356334315397737,23.667531110324592
0x083384f897ee0f19899168e3b1bec365f52a9012,236436.934283,0.10204081632653061,1.672506959464155
0x4f93fead39b70a1824f981a54d4e55b278e9f760,208241.157953,0.3384937238493724,5.454722870075279
0x513b8629fe877bb581bf244e326a047b249c4ff1,163047.664946,0.35170990566037735,401.5569763621027
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,139202.552615,0.4456032915510477,19.56479705097632
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,123774.52624400001,0.3049490538573508,2862.55518193041
